level;notation;en
>;I;History
>>;;Civil
>>>;;Civil Proper
>>>>;1;Antient History 
>>>>;;Modern History
>>>>>;2;Foreign
>>>>>;3;British 
>>>>>;4;American 
>>>;5;Ecclesiastical History
>>;;Natural
>>>;;Physics
>>>>;6;Natural Philosophy
>>>>;7;Agriculture 
>>>>;8;Chemistry 
>>>>;9;Surgery 
>>>>;10;Medicine 
>>>;;Nat. Hist. Proper
>>>>;;Animals
>>>>>;11;Anatomy
>>>>>;12;Zoology
>>>>;;Vegetables
>>>>>;13;Botany
>>>>;;Minerals
>>>>>;14;Mineralogy
>>>;;Occupations of Man
>>>>;15;Technical Arts 
>;II;Philosophy
>>;;Moral
>>>;;Ethics
>>>>;16;Moral Philosophy
>>>>;16;Law Of Nature & Nations 
>>>;;Jurisprudence
>>>>;;Religious
>>>>>;17;Religion 
>>>>;;Municipal
>>>>>;;Domestic
>>>>>>;18;Equity 
>>>>>>;19;Common Law 
>>>>>>;20;Law Merchant 
>>>>>>;21;Law Maritime 
>>>>>>;22;Law Ecclesiastical 
>>>>>;23;Foreign Law 
>>>>;;Oecconomical
>>>>>;24;Politics
>>>>>;24;Commerce
>>;;Mathematical
>>>;;Pure
>>>>;25;Arithmetic 
>>>>;26;Geometry 
>>>;;Physico-Mathematical
>>>>;27;Mechanics
>>>>;27;Statics
>>>>;27;Pneumatics
>>>>;27;Phonics
>>>>;27;Optics
>>>>;28;Astronomy 
>>>>;29;Geography
>;;Fine Arts
>>;30;Architecture
>>;31;Gardening
>>;31;Painting
>>;31;Sculpture
>>;32;Music
>>;;Poetry
>>>;33;Epic
>>>;34;Romance
>>>;35;Pastorals
>>>;35;Odes
>>>;35;Elegies
>>>;36;Didactic
>>>;37;Comedy
>>>;39;Dialogue
>>>;39;Epistles
>>;;Oratory 
>>>;40;Logic
>>>;40;Rhetoric
>>>;40;Orations
>>;;Criticism 
>>>;41;Theory
>>>;42;Bibliography
>>>;43;Languages
>;;Authors who have written on various branches
>>;44;Polygraphical 
